"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3363","projects section has no serious/critical violations @a11y","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","failed","Mon Sep 22 16:21:34 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","5352","home has no serious/critical violations @a11y","Mobile Safari","Mon Sep 22 16:21:22 EDT 2025","failed","Mon Sep 22 16:21:28 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","3801","valid submission shows success toast","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:35 EDT 2025","","contact.form.spec.ts","",""
"","5283","deep link lands about nearest to top","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:27 EDT 2025","","sections.viewport.spec.ts","",""
"","5639","home first contentful paint under 2.5s on cold load (CI env)","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","failed","Mon Sep 22 16:21:28 EDT 2025","","perf.budget.spec.ts","",""
"","5819","nav click -> about","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:28 EDT 2025","","navigation.smoke.spec.ts","",""
"","5527","valid submission shows success toast","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:27 EDT 2025","","contact.form.spec.ts","",""
"","5722","nav click -> contact","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:28 EDT 2025","","navigation.smoke.spec.ts","",""
"","3461","nav click -> projects","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:35 EDT 2025","","navigation.smoke.spec.ts","",""
"","5743","about section has no serious/critical violations @a11y","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","failed","Mon Sep 22 16:21:28 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","5493","contact section has no serious/critical violations @a11y","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","failed","Mon Sep 22 16:21:28 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","6029","home has no serious/critical violations @a11y","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","failed","Mon Sep 22 16:21:28 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","3118","nav click -> contact","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:34 EDT 2025","","navigation.smoke.spec.ts","",""
"","2478","deep link lands about nearest to top","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:34 EDT 2025","","sections.viewport.spec.ts","",""
